event_number,sub-01,sub-02,sub-03,sub-04,sub-05,sub-06,sub-07,sub-08,sub-09,sub-10,sub-11,sub-12,sub-13,sub-14,sub-15,sub-16,sub-17
1,0,0,0,0,0,0,0,0,0,0,0,0,0.6617294323519827,0,0,0,0
2,0.3643018884063015,0.3288052308013826,0.3479100881787455,0.3245590510531038,0.1293015897769192,0.2528593642338029,0.2468438356152836,0.4509563664938805,0.295667632,0.1839322357813813,0.3764949537076662,0.3783461755451952,0.3479729627477554,0.3364571538137111,0,0.1491977286083003,0.436462825
3,0.089393975,0.149131659,0.3774632988681708,0.2478655635527508,0,0.2639036379978327,0.3996596434939191,0.3396122914903329,0.179441875,0.3784084480917926,0.1071910590575059,0.404834808,0.3973728654413761,0.2732041509637825,0,0.1033838182592571,0.267813174
4,0,0,0.3195584511945606,0.497936467,0.2948268443553288,0.2132444409638751,0,0,0.4567820622186786,0.4329860186383995,0.2290854200991406,0.3294583228867019,0.569091951,0.3243419432141005,0,0,0.5307129474927149
5,0.2421729852977788,0.3185266892310986,0.4849396211292142,0.5176308928106363,0.3365140652227094,0.5296680352565086,0.4546914807078699,0.3444155010356978,0,0.3161904451464183,0.4131846181256353,0.4567112012606354,0.6580170867110897,0.3952048204841262,0,0.4501997398175966,0.4385147569588519
6,0,0,0,0,0,0,0,0,0,0,0,0,0.3866230027395139,0,0,0,0
7,0,0,0,0,0.3805841932244989,0.6293957970041165,0.3223725706762146,0.385909018,0,0.3905989912266631,0,0.5623078046219028,0.626018527,0.3742683629827316,0,0.416689546,0.6045994930508495
8,0.3394436005833301,0,0.4784881261335427,0.4329529685219833,0.2759817632747708,0.2891730025324755,0.2967994581129243,0,0.2583075981794043,0.3450349359149222,0.3748379810624796,0.5684587843128914,0.4912597133461211,0.4576280292101015,0.2271299576041223,-0.046426764,0.2819960421806138
9,0,0,0.3556271954700737,0.1373700535482433,0.3015476625866672,0.3929165944583118,0.2990717050025387,0.4433466205101499,0,0.1564176564878406,0.2453159275123128,0.3389259497813562,0.4909984624963561,0,0,0.1029301643868706,0.4593537092348513
10,0,0,0.3224645472416521,0.3915865165201463,0.4871076706677683,0.3743634864241492,0.3212552466492455,0,0,0,0,0.5336480385954477,0.3942816540554449,0.5122323392298289,0,0,0.5009774751228844
11,0,0,0.3615401005050986,0.3209813981836698,0.2273851024548197,0.3209616904272696,0.1888728951925364,0.340577701,0.1312355733112044,0.3178156167486281,0.077257785,0.311359249,0.395220326,0.3937994432692696,0.1269575336484679,0.2455766529257438,0.1888247073162499
12,0,0,0,0.4575087108307583,0.3378562987614929,0,0.3684300138839459,0.1961401163203606,0.1303193704552984,0.1468667953197525,0.1997609157000326,0.3913835110669024,0.5279142660042551,0.3907283616923004,0,0,0.2430705811817263
13,0,0.4984274792246022,0.6235540141878945,0.4177891238394176,0.6115841957160739,0.521707708,0,0.6189718038618008,0,0.5041965486942913,0.4183433846460861,0.602681095,0.6941235012543268,0.6788742327332865,0.674182859,0.5463429787696714,0.5972191532800288
14,0.385212473,0.2833901018804489,0.3862226031254409,0.4454997690126899,0.3373230845772908,0.2647466060400323,0.4170679243770944,0.3671177007135557,0.3797676091031116,0.4135258421055274,0.273420678,0.5032985842282628,0.5632071643618695,0.336001799,0,0.3018560656280138,0.4906023409684009
15,0.3939718117621407,0.509436646,0,0.5342640822134371,0.3634488474070483,0.2053177037407901,0.2743439010561296,0,0.516034953,0.3824483415151348,0.4471221541333078,0.5407468353369564,0.4390921575105976,0.3733341889272395,0.3156692204829791,0.4966916611771039,0.4508786672974582
16,0.6620066359661833,0.4920658889679363,0.5772040507344732,0.5743064592532702,0.5334744961253557,0.5549540410647569,0.5867954206082637,0.5627567749415412,0.5830302564063998,0.5734091637740553,0.5194788990302892,0.5879334524365096,0.6669659398068903,0.6266665685611587,0.5400227137271976,0.5095972508365354,0.6108095733014735
17,0,0,0,0,0,0,0,0,0,0,0.3864744762351368,0,0.3939821811957933,0,0.2135134974724227,0,0
18,0.361935749,0,0,0,0,0.3507208335134935,0,0,0,0.3506056425671939,0,0.3618331214310463,0.4995814352765754,0,0,0.4541634137383439,0
19,0.4621371298537108,0.4955443383523261,0.4342958596854943,0.488736926,0.4155384278025744,0.4707803839589855,0.5118379363291762,0.5969323407953141,0.4444199122824998,0.4835625827553034,0.5654786726134821,0.5097882395184025,0.6655855477071526,0.5674617577749933,0.3488810266973228,0.3628036811255913,0.6737957417622354
20,0,0,0,0,0,0,0,0,0,0,0,0,0.5253338979800922,0,0,0,0
21,0,0,0,0.4326287604984463,0,0,0,0.5425222773520423,0,0.283116549,0,0.2126644296483578,0.6377540415870099,0.414550255,0,0.5562406217653988,0
22,0.4060553190443812,0.6092298962417944,0.3946723229514231,0.5329604941776367,0.4221207412821866,0.2715217302090068,0.5363522866298287,0.6220634633436262,0.5894107128979689,0.5728865987025036,0.5318850341973486,0.7756386833400768,0.6703272026154944,0.5716542947004717,0.2932419244259432,0.6187252737251603,0.5883987289850249
23,0,0,0,0.3213685374736761,0,0,0.5289584303113098,0.4548260194060944,0,0,0.3939257,0,0.37218176,0,0,0.2775240190912187,0
24,0.4427046748300831,0.4864657578038515,0.4330558695829475,0.4920935735253761,0.4538523926537761,0.4533024879153821,0.4553461310531411,0.5137092022633165,0.4454887125747427,0.4164107704940841,0.5051939379746032,0.540887505,0.6521282756346156,0.6253384115358259,0.4503353660859541,0.3569378935186006,0
25,0,0.4706829099895746,0,0.497177204,0,0.5172875206195645,0,0.5368571303827001,0,0.3846551929011375,0,0.6544883377449487,0.6854838349047877,0.4543152988120703,0,0.3782604526061822,0.6564955508174267
26,0,0.6123977730190233,0,0,0,0.3619984354910452,0,0.6014351428458151,0,0.3593932721039599,0,0.6672365415690619,0,0.5231439589349965,0,0,0
27,0,0,0,0.4509660214285959,0.4510839485978545,0.3264638349230432,0.5834851775205068,0.6653231064130344,0.5703845778111913,0.4636874197637051,0,0.5397300818958088,0.7239067515770904,0,0.7157092726981976,0.3116617837411054,0.6263903866438721
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0.5464713261657764,0.4164164156754456,0,0.4086374313231144,0,0,0.6054822521458468,0.4961726647337005,0.3561809569700868,0,0.6731659252740929,0.6807998588517815,0,0,0,0.3358819142061593
